,sentence_2,sentence_2_bert
1447,일러스트레이터를 다룰 수 있으시면 '우리 회사 로고 기본 최종 파일.ai' 파일을 사용하시면 됩니다.,"일러스트레이터를 다룰 수 있으시면,'우리 회사 로고의 기본 최종 파일. ai'파일을 사용하시면 됩니다."
1458,(아무도 잘할 수 없는 일),""" ( 아무도 잘할 수 없는 일 )"
1481,그러고나서는… 순서파괴 책 이야기.. 밀린 일얘기를 많이했네요! ㅋㅋ,그러고나서는 … 순서파괴 책 이야기.. 밀린 책 일얘기를 많이했네요! ㅋㅋ
1485,근데 음란 요소가 너무 많이 나와서 좀 별로ㅠㅠㅠ,근데 음란 요소가 요즘 너무 많이 나와서 좀 별로ㅠㅠㅠ
1490,대박.... 한번 할 때 얼마나 틀어놓나욬ㅋㅋ,대박.... 한번 할 때는 얼마나
1505,그들의 삶은 지금 우리삶과 얼마나 다른가...,그들의 삶은 지금의 우리삶과 얼마나 다른가...
1517,한 번 문의 주실 수 있을까요?,한 두 번 문의 주실 수 있을까요?
1530,제가 형님을 얼마나 좋아하는데...,. 제가 형님을 얼마나 좋아하는데...
1531,"각자 팀과 진행하고 있는 업무에 대해서도 이야기 나눴고, 다음에 비즈팀 공유 오피스 구경하러 놀러 오시기로! 즐거운 주말 보내세요~~","각자 팀과 함께 진행하고 있는 업무에 대해서도 이야기 나눴고, 다음에 비즈팀 공유해서 오피스 구경하러 놀러 오시기로! 즐거운 즐거운 주말 보내세요 ~ ~"
1541,도넛이 그렇게 맛이 좋나요?,어떤 도넛이 그렇게 맛이 좋나요?
1550,와 와 두분 넘 개운해보여요!,와 와 두분이 넘 개운해보여요!
1551,와! 나도 모르게 따라해본다!! ㅋ,와! 나도 모르게 잘 따라해본다!! ㅋ
1554,임금 미지급 시효 없애고 근속기간 전체 손해액을 배상하라,미지급 임금 미지급 시효 없애고 근속기간 전체 손해액을 배상하라
1562,저도 사려다가 가격보고 포기...,저도 사려다가 가격보고도 포기...
1567,혹시 몇시쯤 부터 계실까요?,혹시 몇시쯤 지금 부터 계실까요?
1580,. 영화인들의 특권의식과 그들의 촬영하는 행위에 대한 미화가 듬뿍담겨져있따.,. 영화인들의 특권의식과 그들의 영화 촬영하는 행위에 대한 미화가 듬뿍담겨져있따.
1591,넵! 그룹이면 문제 없을 것 같습니다.,넵! 그룹이면 문제 없을 것만 같습니다.
1598,이해하지 못한 저를 위해 친절히 설명을 해주셨습니다!,아직 이해하지 못한 저를 위해 친절히 설명을 해주셨습니다!
1600,이런 대공감 영화가 있는지 몰랐네...,이런 대공감의 영화가 있는지 몰랐네...
1601,잠깐 내용을 살펴봤는데 너무너무 재미있을 것 같더라고요.,잠깐 내용을 살펴봤는데 너무너무 재미있을 것만 같더라고요.
1616,이명박 아들 이시형 마약투약혐의 재수사 및 고의누락 검찰 수사 관련자 처벌 청원합니다.,이명박 대통령 아들 이시형 마약투약혐의 사건 재수사 및 고의누락 검찰 수사 관련자 처벌 청원합니다.
1622,하남지역 초등학교 돌봄교실 확충 청원합니다.,하남지역 모든 초등학교 돌봄교실 확충 청원합니다.
1624,"정종철,박준형등 이무리의 사람들이 나오는 영화는 크게 성공 안한듯?...","정종철, 박준형등. 이무리의 사람들이 나오는 영화는 크게 성공 안한듯?..."
1626,"어제 tv에서 하는 “방구석 1열” 방영하는 걸 봤는데, 기억에 관련된 영화를 소개하는 편이더군요. (기억의 밤 ; 내가 잠들기 전에)","어제 tv에서 하는 “ 우리 방구석 1열 ” 방영하는 걸 봤는데, 주로 기억에 관련된 영화를 소개하는 편이더군요. ( 기억의 밤 ; 내가 잠들기도 전에 )"
1629,청소년 보호법이 과연 청소년을 지키고 있을까요?,현행 청소년 보호법이 과연 청소년을 지키고 있을까요?
1634,와 나 베이스 좋아했네;,와 나는 베이스 좋아했네 ;
1635,타지에서 가족같은 사람들이 있어서 좋다는 말이 너무나 부럽기도 하고 좋아보였어요!!,타지에서 가족같은 사람들이 있어서 좋다는 그 말이 너무나 부럽기도도 하고 좋아보였어요!!
1641,아.. 지구내부에서 죽은 사람들.. 정말 감동이었다...,아.. 지구내부에서 죽은 사람들.. 정말. 감동이었다...
1642,서울시설공단 대표와 일주일 동행 요청,서울시설공단 안 대표와 일주일 동행 요청
1659,아마 마이클만 무명 시절이었지 몰지만 비디오 출시한 LA강력반 영화를이라 봤는데 너무 재밌었어요.,아마 마이클만 무명 시절이었지 몰지만 비디오 출시한 영화 LA강력반 영화를이라 봤는데 그게 너무 재밌었어요.
1662,다음에 또 얘기하게되면 좀 더 친해진 버전으로 입 털어보자는 기약을 남겼습니다ㅎㅎㅎ,다음에 또 얘기하게되면 좀 더 친해진 버전으로 한 입 털어보자는 걸로 기약을 남겼습니다ㅎㅎㅎ
1667,둘은 담배도 잘 피고 숨도 잘 쉬고,둘은 함께 담배도 잘 피고 숨도 잘 쉬고
1669,오… 저는 먹고 운동 안 하는데 ㅠ,오 … 저는 먹고 운동 안 하는데 … ㅠ
1671,<PERSON> 님 혹시 관심있으실까 하여 두 권 모두 상현 사무실에 두었습니다.,< THE PERSON > 님은 혹시 관심있으실까 하여 두 권 모두 상현 사무실에 두었습니다.
1675,제주도 계신 분들 근처 오름 가셔서 별 구경 해보세용,제주도 계신 분들 근처 오름 가셔서 별들 구경 해보세용
1684,사회갈등을 초래하는 댓글란을 삭제해 주세요,그리고 사회갈등을 초래하는 댓글란을 삭제해 주세요
1692,첨에 노래 제목이 변심을 이야기 하는 것 인줄 알았는데..,첨에 노래 제목이 변심을 두고 이야기 하는 것 인줄 알았는데..
1698,종합부동산세 부과기준을 변경해야 됩니다.,종합부동산세의 부과기준을 변경해야 됩니다.
1704,국민혈세 '깜깜이 지출'하는 국회의 정기적 외부 회계 감사를 청원합니다.,그리고 국민혈세'깜깜이 지출'하는 국회의 정기적 외부 회계 감사를 청원합니다.
1705,좋은영화를 보게 되어 영광입니다.,좋은영화를 많이 보게 되어 영광입니다.
1710,도울 수 있는 일이 있을까용?!,과연 도울 수 있는 일이 있을까용?!
1714,공군사관학교 교수사관 채용 비리 및 업무 처리 의심 관련,공군사관학교 교수사관 채용 비리 및 부당 업무 처리 의심 관련
1722,"보통 저는 하락 장일 때만 매수를 하는 편이고요,","보통 저는 하락 장일 때 때만 매수를 하는 편이고요,"
1724,솜뭉치 넘 귀엽고 주니어 넘 축하드립니다~!!,솜뭉치 넘 귀엽고 주니어님 넘 축하드립니다 ~!!
1727,업무환경 지원금으로 재구매한 M1 MAX PRO 14인치가 2달만에 집에 도착하셨습니다.,업무환경 지원금으로 재구매한 M1 MAX PRO 제품 14인치가 출시 2달만에 집에 도착하셨습니다.
1730,기회되면 한국에서 한번 뵙겠습니다~~!!,기회되면 한국에서 한번 꼭 뵙겠습니다 ~ ~!!
1736,코난이랑 김전일이 더 재밌다는 관객 의견에 % 동의한다.,코난이랑 김전일이 더 재밌다는 일부 관객 의견에 % 동의한다.
1738,불법 민주노총 시위때문에 고통받고 있습니다,현재 불법 민주노총 시위때문에 고통받고 있습니다
1742,실업급여가 자영업자를 더 힘들게 합니다,실업급여가 저소득 자영업자를 더 힘들게 합니다
1745,완전 재밌어 또 보고 싶어,완전 재밌어서 또 보고 싶어
1747,엄마 아빠를 반의어가 아닌 유의어로 바꿔주세요,엄마 아빠를 위해 반의어가 아닌 유의어로 바꿔주세요
1750,순경 시험 영어 폐지해 주세요.,순경 순경 시험 영어 폐지해 주세요.
1753,포스코에서 억울하게 해고된 직원의 복직을 원합니다.,포스코에서 억울하게 해고된 직원의 복직을 간절히 원합니다.
1762,운송장 번호가 궁금하신 분들은 저에게 살포시 DM 주세용,운송장 번호가 궁금하신 분들은 저에게 DM 살포시 DM 주세용
1775,갑자기 크리티컬 voc에 대해 알아보자 시간이 됐군요. ㅋㅋ,갑자기 크리티컬 voc에 대해 좀 알아보자 시간이 됐군요. ㅋㅋ
1788,여성전용칸 폐지 또는 여성전용이라는 단어 사용 금지 법 만들어주시길 바랍니다,여성전용칸제 폐지 또는 여성전용이라는 단어의 사용 금지 법 만들어주시길 바랍니다
1796,주변 확진 케이스 토픽으로 시작해 여행이야기로 이어졌습니다.,주변 확진 케이스는 토픽으로 시작해 여행이야기로 이어졌습니다.
1800,포카라가는 버스는 다시는 못탈거 같아요,포카라가는 버스는 다시는 잘 못탈거 같아요
1802,고3 학생들 붙잡아 두지 말아 주세요.,고3 학생들 붙잡아 두지 말아 해 주세요.
1843,사투리의 역사와 판별력 ㅋㅋ,사투리의 역사와 판별력. ㅋㅋ
1851,이런걸 사랑으로 포장하는 것조차 역겹다,이런걸 사랑으로 포장하는다는 것조차 역겹다
1855,하이브리드 자동차에 대한 혜택을 축소하거나 없애지 말아주십쇼.,하이브리드 자동차에게 대한 혜택을 축소하거나 없애지 말아주십쇼.
1860,:분 짜리 영화 입니다..:;;;,: 분봉 짜리 영화 입니다.. : ; ; ;
1877,3000미터 넘으면 한시간 정도 휴식하고 올라가야 한다고 하더라고요.,3000미터 넘으면 한시간 정도 휴식하고 올라가야 한다고들 하더라고요.
1882,누진세는 결국 이렇게 흐지부지 넘어나는군요,누진세는 결국 이렇게 해서 흐지부지 넘어나는군요
1888,"넵,오늘의 반가움은 맛난 커피로 이어갈게요.","넵, 오늘의 반가움은 더 맛난 커피로 이어갈게요."
1894,나는야.. 멕 라이언 누나 광팬... 허나.. 이젠 주름살이 너무 보인다...ㅠㅜ,나는야.. 멕 라이언 누나의 광팬... 허나.. 이젠 주름살이가 너무 보인다... ㅠㅜ
1909,하는지 안하는지 확인이 쉬우면 좋겠습니다.,잘 하는지 안하는지 확인이 쉬우면 좋겠습니다.
1914,국회의원 무노동 무임금 및 주민소환제실시 법으로 규정해야 합니다!!,국회의원 무노동 무임금 및 주민소환제실시 법으로 명확히 규정해야 합니다!!
1921,우리의 전통 홍길동전이 이렇게 쓰레기 같이 밟힐줄이야..어머나..,. 우리의 전통 홍길동전이 이렇게 쓰레기 같이 밟힐줄이야.. 어머나..
1924,헐 저 유튜브 본적 있어요!,헐 저 유튜브 영상 본적 있어요!
1925,역시 실력자는 어떤 분야를 해도 금방 적응을 하시는것 같네요 ㅎㅎ,역시 실력자는 거의 어떤 분야를 해도 금방 적응을 하시는것 같네요. ㅎㅎ
1932,제가 언제 저런 사진을 찍었나요..??,제가 언제 저런 사진을 못 찍었나요..??
1933,그럼 전 놋북 덮고 뛰러 갑니다,그럼 전에 놋북 덮고 뛰러 갑니다
1938,혹시 이건 제 하드웨어 이슈일까요...?,혹시 이건 또 제 하드웨어 이슈일까요...?
1942,와.. 햇볕이 너무 좋은데요...,. 와.. 햇볕이 너무 좋은데요...
1943,<PERSON> 님과 처음 얘기나누었습니다~!,오늘 < PERSON > 님과 처음 얘기나누었습니다 ~!
1952,꼭 질문 드리는걸로 ㅎㅎ,꼭 질문을 드리는걸로 ㅎㅎ
1964,경찰 공개채용 필기시험 법과목 필수 과목화 청원드립니다.,경찰 공개채용 필기시험 법과목 필수 필수 과목화 청원드립니다.
1965,그 모태가 되는게 언리더십이었군요!,그 모태가 하나 되는게 언리더십이었군요!
1979,드라마 집중안되어 채널을 돌리기도합니다..,드라마 집중안되어서 채널을 돌리기도합니다..
1981,ㅊ최고의 로멘스 드라마 ㅠㅠ,ㅊ최고의 로멘스 드라마! ㅠㅠ
1989,아마 여성용도 있을 것입니다.,아마 여성용도 있을 것 것입니다.
1994,한국 드라마사상 최고의 수작이 아닐까 싶습니다.,한국은 드라마사상 최고의 수작이 아닐까 싶습니다.
2004,진짜 상대를 힘들지않게 하고싶었으면 마음이 깊어지기전에 진작 밝혔어야지.,진짜 상대를 힘들지않게 하고싶었으면 마음이 깊어지기전에 진작에 밝혔어야지.
2012,재밌는데 교과서 보는 느낌? 같았음,재밌는데 교과서를 보는 느낌? 같았음
2034,주택을 제외한 모든 빌라/아파트 택배는 경비실에서 개인이 수령토록 해주세요,주택을 제외한 모든 빌라 / 아파트 택배는 경비실에서 개인이 직접 수령토록 해주세요
2039,그럴듯하게 시작했으나 억지스런 마무리.,나름 그럴듯하게 시작했으나 억지스런 마무리.
2047,일본 전범기 공식 항의해 주세요.,일본 전범기에 공식 항의해 주세요.
2065,좀 너무 하긴 하네여..ㅡ.ㅜ,좀 너무 하긴 너무 하네여.. ㅡ. ㅜ
2076,뒷 부분에 어느정도 해답이 있기를 ㅠㅠ,뒷 부분에는 어느정도 해답이 있기를 ㅠㅠ
2079,(전체객차중 단 1개의 객차량중 반을 활용),( 전체객차중 단 1개의 객차량중 반을 더 활용 )
2083,경계성 지능 장애인도 일반 장애인과 동일하게 대해주십시오,경계성 지능 장애인도 일반 장애인과 동일하게 잘 대해주십시오
2086,오....저는 요즘 재활 치료를 하는 마음으로 운동을 하고 있어서...ㅎㅎ;;,. 오.... 저는 요즘 재활 치료를 하는 마음으로 운동을 하고 있어서... ㅎㅎ ; ;
2097,역시 영화는 아무나 하는게 아니야~~~~~~,근데 역시 영화는 아무나 하는게 아니야 ~ ~ ~ ~ ~ ~
2107,마지막으로 저의 306090 응원도 잊지 않아주셨습니다(정작 다 끝나고 올리는..;;),마지막으로 저의 306090 응원도 잊지 않아주셨습니다 ( 정작 응원 다 끝나고 올리는.. ; ; )
2115,수많은 비유과 상징을 고민하는 재미를 주었다,수많은 비유과 함께 상징을 고민하는 재미를 주었다
2127,젊은 이미연씨도 이쁘고 다 좋은데 왜왜왜 비극적인가요?,젊은 이미연씨도 이쁘고 다들 좋은데 왜왜왜 비극적인가요?
2128,부자를 위한 부동산 정책,부자를 찾기 위한 부동산 정책
2148,한마디로 수술중 사용하면 즉사.,말 한마디로 수술중 사용하면 즉사.
2155,오픈클래스에 쉑쉑버거 까지 기억하셔서 정말 놀라웠어요.ㅎㅎ,오픈클래스에서 쉑쉑버거 까지 기억하셔서 정말 놀라웠어요. ㅎㅎ
2162,아 근데 나 남잔데..,아 근데 나도 남잔데..
2170,ㅋㅋㅋ 그런 것 같아요,ㅋㅋㅋ ㅋㅋㅋ 그런 것 같아요
2172,아무 정보도 없이 간걸 후회했다.,아무도 정보도 없이 간걸 후회했다.
2187,현실에도 존 커피가 있을 것 같다.,이런 현실에도 존 커피가 있을 것 같다.
2192,근데 ㅋㅋㅋ 한복 스타일 괜찮나요..?ㅋㅋㅋㅎㅎ,근데. ㅋㅋㅋ 한복 스타일 괜찮나요..? ㅋㅋㅋㅎㅎ
2201,제주도 날 좋을 때 또 가고싶네요~,제주도 날 좋을 때 또 제주도 가고싶네요 ~
2205,"이명박 첫 재판에 나오는 과정에서 수갑을 채우지 않는 사진을 보고, 사법부, 교도관들도 썩었다는 것이 증거.","이명박 첫 재판에 나오는 과정에서, 누군가 수갑을 채우지 않는 사진을 보고, 사법부, 교도관들도 썩었다는 것이 증거."
2206,강지환 이지아 조합 실패!..,강지환 이지아 조합은 실패!..
2207,벌 생각 하지 마세요,돈 벌 생각 하지 마세요
2211,헛..! 저 여기 단골이에요!,헛..!! 저 여기 단골이에요!
2213,못이 발사되는 그 공구는 대체..,못이 발사되는 그의 공구는 대체..
2231,삼성바이오로직스 고의분식 배후는 한공회와 금융위를 고발합니다,삼성바이오로직스 고의분식의 배후는 한공회와 금융위를 고발합니다
2237,국민 연금 혁신방안 제안합니다!,국민 연금개혁 혁신방안 제안합니다!
2240,교복 마이(자켓)을 없애거나 바꿔주세요.,교복 마이 ( 자켓 ) 을 없애거나 아예 바꿔주세요.
2248,D도 엉성하고.. 전 애들에게 동물 보여주려고 본건데 동물도 거의 안 나와요..,D도 너무 엉성하고.. 전 애들에게 동물 보여주려고 본건데 동물도 거의 거의 안 나와요..
2255,일단 기네스 맛있게 먹는 연기 연습부터 하시죵!!,일단은 기네스 맛있게 먹는 연기 연습부터 하시죵!!
2258,대한민국 성범죄의 '솜방망이 처벌'을 개선해야 합니다.,대한민국 성범죄의'솜방망이 처벌'을 시급히 개선해야 합니다.
2262,오 저희 이런 좋은 제도가 생겼꾼요!,오 저희도 이런 좋은 제도가 생겼꾼요!
2274,같이 어몽어스 했던게 엊그제 같은데 벌써 5개월 전이라는게 충격적이었습니다.,같이 어몽어스 했던게 엊그제 같은데 벌써 벌써 5개월 전이라는게 충격적이었습니다.
2281,그 친구 분 저에게 소개 좀 부탁드립니다. ㅋㅋ,그 친구 분 저에게 소개를 좀 부탁드립니다. ㅋㅋ
2283,제가 좀더 찾아 보니 proxy같은것 같은데 실험을 좀 해봐야겠습니다.,제가 좀더 찾아 보니 뭔가 proxy같은것 같은데 실험을 좀 해봐야겠습니다.
2290,살아야 될 이유를 찾은 아담,살아야만 될 이유를 찾은 아담
2294,합치면 인증샷들이랑 헷갈려서 ㅠㅠ,다 합치면 인증샷들이랑 헷갈려서 ㅠㅠ
2296,"혹시 여러분들은, 한 주를 회고하는 방식이 있으신가요?~","~ 혹시 여러분들은, 한 주를 회고하는 방식이 있으신가요? ~"
2300,채널 생성 제가 지금 할게요~!,채널을 생성 제가 지금 할게요 ~!
2301,천안함사건의 의문점에 대한 진상을 재조사해주시기를 청원합니다.,천안함사건의 의문점에 대한 모든 진상을 재조사해주시기를 청원합니다.
2306,자녀교육에 관심 많은 스타 분들을 위해 나중에 한 자리 마련해야겠어요!!,"자녀교육에 관심 많은 스타 분들을 위해, 나중에 한번 자리 마련해야겠어요!!"
2316,제가 있던 테이블에서도 너무나 가슴 뛰는 아이디어도 많이 나누었습니다.,제가 있던 테이블에서도 너무나 가슴 뛰는 아이디어도 많이 함께 나누었습니다.
2326,시간 참 빠릅니다. ㅎㅎ,이 시간 참 빠릅니다. ㅎㅎ
2332,"영어 시험을 없애거나, 영어 교육 방식을 바꿔주세요","영어 시험을 아예 없애거나, 영어 교육 방식을 바꿔주세요"
2336,"주말 만큼은 탈탈 털고, 좋은거 보고, 좋은 거 드시고, 좋은 시간 보내시기 바랍니다~","주말 만큼은 탈탈 털고, 기분 좋은거 보고, 좋은 거 드시고, 좋은 시간 보내시기를 바랍니다 ~"
2348,이 때까지만 해도... 참...,이 때까지만 해도.... 참...
2351,제가 요새 yebba - dawn 이라는 앨범을 엄청 듣고 있는데요,제가 요새 yebback - dawn 이라는 앨범을 엄청 듣고는 있는데요
2354,"약대입학정원 일본 13,000명 VS 한국 1,600명","약대입학정원 일본 일본 13, 000명 VS 한국 1, 600명"
2359,각급선거관리위원회의 예산낭비를 다음과 같이 고발합니다.,각급선거관리위원회의 예산낭비를 다음과 같이 같이 고발합니다.
2361,대한민국 특사에 대한 중국의 외교결례를 강력히 항의하십시요,대한민국의 특사에 대한 중국의 외교결례를 강력히 항의하십시요
2362,시터이모님 어서 빨리 컴백 하시기를요!!!!,그리고 시터이모님 어서 빨리 컴백 하시기를요!!!!
2366,오늘 걱정해주신 분들을 위해 오늘자 제주도 별 사진 올려드리며 밤을 마무리해봅니다,오늘을 걱정해주신 모든 분들을 위해 오늘자 제주도 별 사진 올려드리며 밤을 마무리해봅니다
2368,경제민주주의 왜곡에 대한 해명,경제민주주의 왜곡에 대한 정부 해명
2373,은행업무를 토요일에도 영업을 할수 있게 해주세요,은행업무를 통해 토요일에도 영업을 할수 있게 해주세요
2384,요즘 제가 고민하는 부분에 있어서도 배울 점이 많아서 귀에 쏙쏙 들어오네요.,요즘은 제가 고민하는 부분에 있어서도 배울 점이 너무 많아서 귀에 쏙쏙 들어오네요.
2389,작업 가능하신 분한테 부탁을 드려야 할 것 같습니다.,작업 가능하신 분한테 부탁을 드려야만 할 것 같습니다.
2394,전복돌솥밥도 되게 괜찮아요 :),전복돌솥밥도 되게나 괜찮아요 : )
2397,제꺼 헤드셋 정보 입니다. ㅋㅋㅋ,ㅋㅋㅋ 제꺼 헤드셋 정보 입니다. ㅋㅋㅋ
2399,화려한 액션과 아버지와 아들의 감동적인 스토리...,화려한 액션과 아버지와 아들의 가장 감동적인 스토리...
2406,공공기관 지방이전으로 국토의 균형발전을이루워주세요,공공기관 지방이전으로부터 국토의 균형발전을이루워주세요
2417,내일 관리사무소에 연락해서 상황 전달하라고 하네요,내일 관리사무소에서 연락해서 상황 전달하라고 하네요
2419,마지막 사진은 체력을 만땅으로 채워보자는 염원을 담은 달리는 말 배경..!!,마지막 사진은 제 체력을 만땅으로 채워보자는 염원을 담은 달리는 말의 배경..!!
2435,이거 언젠가 아이디어 들었던 것 같은 느낌이..?,이거. 언젠가 아이디어 들었던 것 같은 느낌이..?
2443,김성태의원 폭행한 사람 구속은 면하게 해주세요,김성태의원 폭행한 두 사람 구속은 면하게 해주세요
2444,충분히 재미있었음에도 평점이 낮은 이유는 글래디에이터가 넘사벽으로 명작이어서 그런 듯 하네요,충분히 재미있었음에도 평점이 너무 낮은 이유는 글래디에이터가 넘사벽으로 명작이어서 좀 그런 듯 하네요
2448,제발 좀 공교육의 질과 위상을 향상 시켜 주세요!!!!!!!!!!!!!!!!!!,제발 제발 좀 공교육의 질과 위상을 향상 시켜 주세요!!!!!!!!!!!!!!!!!!
2459,저도 언제 한 번 같이 출근해서 업무를 하기로 약속도 했네요!,저도 언제든지 한 두 번 같이 출근해서 업무를 하기로 약속도 했네요!
2465,그리고 사기꾼 집단의 거래소를 폐쇄하여 주시기를 바랍니다.,그리고는 사기꾼 집단의 거래소를 폐쇄하여 주시기를 바랍니다.
2466,공무원 실기시험 평등하게 해주시길 바랍니다.,공무원 실기시험 평등하게 평가 해주시길 바랍니다.
2468,"이효리가 출산율 저하에 미친 영향을 고려하여, 영향력있는 인사의 방송 출연 적극 제한 청원합니다.","가수 이효리가 출산율 저하에 미친 큰 영향을 고려하여, 영향력있는 인사의 방송 출연 적극 제한 청원합니다."
2474,익숙한 공식들로 너무 별볼일 없게 만들었다.,익숙한 공식들로 너무 별볼일이 없게 만들었다.
2479,앗 제가 메일 놓쳤었나봐요~!,앗 제가 이 메일 놓쳤었나봐요 ~!
2485,"오, 충격적이다. 대단한 작품!","오, 충격적이다. 대단한 예술 작품!"
2487,시걸아 치고 빠지는것도 좀 배워라..,시걸아 치고 빠지는것도 좀더 배워라..
2489,불가능을 가능케 만든 무한한 감동무비 !,불가능을 실현 가능케 만든 무한한 감동무비!
2491,여가부에서 정책한 2019년 아이돌봄 서비스의 잘못된 정책을 개선해 주십시오,여가부에서 잘못 정책한 2019년 아이돌봄 서비스의 잘못된 정책을 개선해 주십시오
2492,책보면서 그렇게 운적 처음 ㅡ ㅡ;,이 책보면서 그렇게 운적 처음 ㅡ ㅡ ;
2494,데려다 주셔서 편하게 왔어요,데려다 주셔서 정말 편하게 왔어요
2499,역시 이런 장르는 아무리 잘 만들어도 평이 낮군...,역시 이런 장르는 아무리 잘 만들어도 오히려 평이 낮군...
2505,매니징과 개발 / 리서치와 개발 / 개발 속도와 코드 퀄리티 균형 이야기가 나왔습니다.,매니징과 개발 / 리서치와 개발 / 개발 속도와 코드 퀄리티 균형의 두 이야기가 나왔습니다.
2510,조경태..김진태..이언주..의원님 난민 반대 감사요,조경태.. 김진태.. 이언주.. 의원님 난민 반대합니다 감사요
2515,읽을 줄도 모르는 불어책 읽는 느낌..,읽을 줄도 모르는 불어책을 읽는 느낌..
2516,울프강은 가신다고 하셨으니 패스 합니다…ㅎㅎ,울프강은 가신다고 하셨으니까 패스 합니다 … ㅎㅎ
2520,봅슬레이 슬라이딩센터 및 상비군을 지켜주세요...,봅슬레이 슬라이딩센터 및 경기장 상비군을 지켜주세요...
2521,치과 진료 쪽 보험을 좀더 확대 해주셨으면 좋겠습니다.,치과 치과 진료 쪽 보험을 좀더 확대 해주셨으면 좋겠습니다.
2523,로스쿨 입학정원 연 1만명으로 늘려야 합니다.,로스쿨은 입학정원 연 1만명으로 늘려야 합니다.
2529,무능한 문재인 정부를 심판해 주십시오.,무능한 문재인의 정부를 심판해 주십시오.
2536,"왜 안올리시지, 기다리고 있었어여","근데 왜 안올리시지, 기다리고 있었어여"
2553,애들 싸움이 어른싸움 된건데 참 보면 인의 동맹관계가 계속 바뀌는 것도 재밌고 히스테릭한 행동들도 재밌다.,애들 싸움이 어른싸움 된건데 참 보면 인의와의 동맹관계가 계속 바뀌는 것도 재밌고 히스테릭한 행동들도 재밌다.
2562,저 진짜 너무 먹고 싶어요,저 진짜 너무 먹고 보고 싶어요
2568,와아… 근데 넘 나 귀엽네요!!!!!!! ㅇ,와아 … 근데 … 넘 나 귀엽네요!!!!!!! ㅇ
2578,"이렇게 원하는신 분들이 많을거라고 생각도 못했,,,","이렇게 많이 원하는신 분들이 많을거라고 생각도 못했,,,"
2579,여름철 적정 실내온도를 24~25도로 낮춰주세요.,여름철 적정 실내온도를 24 ~ 25도로 대폭 낮춰주세요.
2621,최종 확인 요청드립니다 :),최종 신원 확인 요청드립니다 : )
2636,개헌으로 국회의원 수를 줄입시다,개헌으로 모든 국회의원 수를 줄입시다
2643,마지막에 미란이가 코난 손 잡을 때 눈물나 ㅠㅠ,마지막에 미란이가 코난 손 잡을 때 너무 눈물나 ㅠㅠ
2648,고품질 소리를 위해 저희 둘 다 마이크를 구매해서 사용하고 있었습니다.,또한 고품질 소리를 위해 저희 둘 다 마이크를 구매해서 함께 사용하고 있었습니다.
2653,어머니성을 따르고자 하는 경우에도 개명신청을 할 수 있게 해주십시오.,어머니성을 그대로 따르고자 하는 경우에도 개명신청을 할 수 있게 해주십시오.
2656,진지하게 보면 두사람의 심리가 보이고 애절하기까지 한데 다들 왜케 욕할까요?,진지하게 보면 이 두사람의 심리가 보이고 애절하기까지 한데 다들 그걸 왜케 욕할까요?
2664,이영화가 재밌다는 사람들 도저히 이해가 안된다. 하아~,이영화가 재밌다는데 사람들 도저히 이해가 안된다. 하아 ~
2665,교육학 중등 임 용고사 객관식으로 바꿔주세요,교육학과 중등 임 용고사 객관식으로 바꿔주세요
2666,"증권거래소 기업심사위원회 등 수많은 각종 ""위원회 명단"" 공개를 원칙으로 하라.","증권거래소 기업심사위원회 위원 등 수많은 "" 각종 "" 위원회 명단 "" 공개를 원칙으로 하라."
